"","GEOID","county","state","variable","estimate","moe","variable_description","county_state"
"163","05103","Ouachita","Arkansas","B19301_001",21520,1320,"Income Per Capita","Ouachita, Arkansas"
"164","05105","Perry","Arkansas","B19301_001",21699,1639,"Income Per Capita","Perry, Arkansas"
"165","05107","Phillips","Arkansas","B19301_001",18402,1285,"Income Per Capita","Phillips, Arkansas"
"166","05109","Pike","Arkansas","B19301_001",21919,1595,"Income Per Capita","Pike, Arkansas"
"167","05111","Poinsett","Arkansas","B19301_001",19413,908,"Income Per Capita","Poinsett, Arkansas"
"168","05113","Polk","Arkansas","B19301_001",20176,1310,"Income Per Capita","Polk, Arkansas"
"169","05115","Pope","Arkansas","B19301_001",22110,1047,"Income Per Capita","Pope, Arkansas"
"170","05117","Prairie","Arkansas","B19301_001",24075,1779,"Income Per Capita","Prairie, Arkansas"
"171","05119","Pulaski","Arkansas","B19301_001",31359,598,"Income Per Capita","Pulaski, Arkansas"
"172","05121","Randolph","Arkansas","B19301_001",21338,1676,"Income Per Capita","Randolph, Arkansas"
"173","05123","St","County","B19301_001",17491,1077,"Income Per Capita","St, County"
"174","05125","Saline","Arkansas","B19301_001",29358,707,"Income Per Capita","Saline, Arkansas"
"175","05127","Scott","Arkansas","B19301_001",17375,1392,"Income Per Capita","Scott, Arkansas"
"176","05129","Searcy","Arkansas","B19301_001",20709,2186,"Income Per Capita","Searcy, Arkansas"
"177","05131","Sebastian","Arkansas","B19301_001",25084,845,"Income Per Capita","Sebastian, Arkansas"
"178","05133","Sevier","Arkansas","B19301_001",20627,1410,"Income Per Capita","Sevier, Arkansas"
"179","05135","Sharp","Arkansas","B19301_001",20721,2849,"Income Per Capita","Sharp, Arkansas"
"180","05137","Stone","Arkansas","B19301_001",20496,1956,"Income Per Capita","Stone, Arkansas"
"181","05139","Union","Arkansas","B19301_001",24522,1363,"Income Per Capita","Union, Arkansas"
"182","05141","Van","County","B19301_001",21622,1053,"Income Per Capita","Van, County"
"183","05143","Washington","Arkansas","B19301_001",27823,874,"Income Per Capita","Washington, Arkansas"
"184","05145","White","Arkansas","B19301_001",23747,1292,"Income Per Capita","White, Arkansas"
"185","05147","Woodruff","Arkansas","B19301_001",21276,1964,"Income Per Capita","Woodruff, Arkansas"
"186","05149","Yell","Arkansas","B19301_001",21584,1760,"Income Per Capita","Yell, Arkansas"
"187","06001","Alameda","California","B19301_001",44283,341,"Income Per Capita","Alameda, California"
"188","06003","Alpine","California","B19301_001",29041,7036,"Income Per Capita","Alpine, California"
"189","06005","Amador","California","B19301_001",30100,1748,"Income Per Capita","Amador, California"
"190","06007","Butte","California","B19301_001",27537,772,"Income Per Capita","Butte, California"
"191","06009","Calaveras","California","B19301_001",32494,1539,"Income Per Capita","Calaveras, California"
"192","06011","Colusa","California","B19301_001",27336,2220,"Income Per Capita","Colusa, California"
"193","06013","Contra","County","B19301_001",45524,462,"Income Per Capita","Contra, County"
"194","06015","Del","County","B19301_001",22832,1799,"Income Per Capita","Del, County"
"195","06017","El","County","B19301_001",40382,874,"Income Per Capita","El, County"
"196","06019","Fresno","California","B19301_001",23284,299,"Income Per Capita","Fresno, California"
"197","06021","Glenn","California","B19301_001",21736,1120,"Income Per Capita","Glenn, California"
"198","06023","Humboldt","California","B19301_001",26747,927,"Income Per Capita","Humboldt, California"
"199","06025","Imperial","California","B19301_001",17590,584,"Income Per Capita","Imperial, California"
"200","06027","Inyo","California","B19301_001",31540,1446,"Income Per Capita","Inyo, California"
"201","06029","Kern","California","B19301_001",22553,302,"Income Per Capita","Kern, California"
"202","06031","Kings","California","B19301_001",21186,665,"Income Per Capita","Kings, California"
"203","06033","Lake","California","B19301_001",25404,1010,"Income Per Capita","Lake, California"
"204","06035","Lassen","California","B19301_001",21897,1252,"Income Per Capita","Lassen, California"
"205","06037","Los","County","B19301_001",32469,137,"Income Per Capita","Los, County"
"206","06039","Madera","California","B19301_001",21394,717,"Income Per Capita","Madera, California"
"207","06041","Marin","California","B19301_001",69275,1467,"Income Per Capita","Marin, California"
"208","06043","Mariposa","California","B19301_001",29776,1572,"Income Per Capita","Mariposa, California"
"209","06045","Mendocino","California","B19301_001",27395,1101,"Income Per Capita","Mendocino, California"
"210","06047","Merced","California","B19301_001",21634,542,"Income Per Capita","Merced, California"
"211","06049","Modoc","California","B19301_001",23235,1518,"Income Per Capita","Modoc, California"
"212","06051","Mono","California","B19301_001",33421,2868,"Income Per Capita","Mono, California"
"213","06053","Monterey","California","B19301_001",28836,525,"Income Per Capita","Monterey, California"
"214","06055","Napa","California","B19301_001",42677,1141,"Income Per Capita","Napa, California"
"215","06057","Nevada","California","B19301_001",37145,1218,"Income Per Capita","Nevada, California"
"216","06059","Orange","California","B19301_001",39590,322,"Income Per Capita","Orange, California"
"217","06061","Placer","California","B19301_001",41508,672,"Income Per Capita","Placer, California"
"218","06063","Plumas","California","B19301_001",32710,3081,"Income Per Capita","Plumas, California"
"219","06065","Riverside","California","B19301_001",27142,232,"Income Per Capita","Riverside, California"
"220","06067","Sacramento","California","B19301_001",31311,252,"Income Per Capita","Sacramento, California"
"221","06069","San","County","B19301_001",31475,1109,"Income Per Capita","San, County"
"222","06071","San","County","B19301_001",23956,207,"Income Per Capita","San, County"
"223","06073","San","County","B19301_001",36156,267,"Income Per Capita","San, County"
"224","06075","San","County","B19301_001",64157,802,"Income Per Capita","San, County"
"225","06077","San","County","B19301_001",26145,355,"Income Per Capita","San, County"
"226","06079","San","Obispo","B19301_001",35832,718,"Income Per Capita","San, Obispo"
"227","06081","San","County","B19301_001",57375,637,"Income Per Capita","San, County"
"228","06083","Santa","County","B19301_001",34229,431,"Income Per Capita","Santa, County"
"229","06085","Santa","County","B19301_001",52451,361,"Income Per Capita","Santa, County"
"230","06087","Santa","County","B19301_001",39001,781,"Income Per Capita","Santa, County"
"231","06089","Shasta","California","B19301_001",27983,586,"Income Per Capita","Shasta, California"
"232","06091","Sierra","California","B19301_001",31972,3760,"Income Per Capita","Sierra, California"
"233","06093","Siskiyou","California","B19301_001",28130,2088,"Income Per Capita","Siskiyou, California"
"234","06095","Solano","California","B19301_001",33700,507,"Income Per Capita","Solano, California"
"235","06097","Sonoma","California","B19301_001",39929,690,"Income Per Capita","Sonoma, California"
"236","06099","Stanislaus","California","B19301_001",25101,388,"Income Per Capita","Stanislaus, California"
"237","06101","Sutter","California","B19301_001",26070,889,"Income Per Capita","Sutter, California"
"238","06103","Tehama","California","B19301_001",23126,983,"Income Per Capita","Tehama, California"
"239","06105","Trinity","California","B19301_001",25964,2063,"Income Per Capita","Trinity, California"
"240","06107","Tulare","California","B19301_001",20421,392,"Income Per Capita","Tulare, California"
"241","06109","Tuolumne","California","B19301_001",33685,2176,"Income Per Capita","Tuolumne, California"
"242","06111","Ventura","California","B19301_001",36891,398,"Income Per Capita","Ventura, California"
"243","06113","Yolo","California","B19301_001",32598,786,"Income Per Capita","Yolo, California"
"244","06115","Yuba","California","B19301_001",23867,783,"Income Per Capita","Yuba, California"
"245","08001","Adams","Colorado","B19301_001",28897,378,"Income Per Capita","Adams, Colorado"
"246","08003","Alamosa","Colorado","B19301_001",21328,1792,"Income Per Capita","Alamosa, Colorado"
"247","08005","Arapahoe","Colorado","B19301_001",38972,442,"Income Per Capita","Arapahoe, Colorado"
"248","08007","Archuleta","Colorado","B19301_001",31035,2612,"Income Per Capita","Archuleta, Colorado"
"249","08009","Baca","Colorado","B19301_001",23862,1836,"Income Per Capita","Baca, Colorado"
"250","08011","Bent","Colorado","B19301_001",14777,1766,"Income Per Capita","Bent, Colorado"
"251","08013","Boulder","Colorado","B19301_001",43831,833,"Income Per Capita","Boulder, Colorado"
"252","08014","Broomfield","Colorado","B19301_001",47016,1883,"Income Per Capita","Broomfield, Colorado"
"253","08015","Chaffee","Colorado","B19301_001",29365,1882,"Income Per Capita","Chaffee, Colorado"
"254","08017","Cheyenne","Colorado","B19301_001",25234,3091,"Income Per Capita","Cheyenne, Colorado"
"255","08019","Clear","County","B19301_001",40655,3738,"Income Per Capita","Clear, County"
"256","08021","Conejos","Colorado","B19301_001",19545,1374,"Income Per Capita","Conejos, Colorado"
"257","08023","Costilla","Colorado","B19301_001",20715,2144,"Income Per Capita","Costilla, Colorado"
"258","08025","Crowley","Colorado","B19301_001",14988,2363,"Income Per Capita","Crowley, Colorado"
"259","08027","Custer","Colorado","B19301_001",26976,3438,"Income Per Capita","Custer, Colorado"
"260","08029","Delta","Colorado","B19301_001",24886,1562,"Income Per Capita","Delta, Colorado"
"261","08031","Denver","Colorado","B19301_001",41196,566,"Income Per Capita","Denver, Colorado"
"262","08033","Dolores","Colorado","B19301_001",24505,3280,"Income Per Capita","Dolores, Colorado"
"263","08035","Douglas","Colorado","B19301_001",51017,766,"Income Per Capita","Douglas, Colorado"
"264","08037","Eagle","Colorado","B19301_001",41064,2404,"Income Per Capita","Eagle, Colorado"
"265","08039","Elbert","Colorado","B19301_001",43349,1943,"Income Per Capita","Elbert, Colorado"
"266","08041","El","County","B19301_001",32348,381,"Income Per Capita","El, County"
"267","08043","Fremont","Colorado","B19301_001",21965,1247,"Income Per Capita","Fremont, Colorado"
"268","08045","Garfield","Colorado","B19301_001",32491,1070,"Income Per Capita","Garfield, Colorado"
"269","08047","Gilpin","Colorado","B19301_001",48460,8235,"Income Per Capita","Gilpin, Colorado"
"270","08049","Grand","Colorado","B19301_001",34717,2649,"Income Per Capita","Grand, Colorado"
"271","08051","Gunnison","Colorado","B19301_001",30127,1499,"Income Per Capita","Gunnison, Colorado"
"272","08053","Hinsdale","Colorado","B19301_001",34644,5585,"Income Per Capita","Hinsdale, Colorado"
"273","08055","Huerfano","Colorado","B19301_001",25636,2204,"Income Per Capita","Huerfano, Colorado"
"274","08057","Jackson","Colorado","B19301_001",25467,3266,"Income Per Capita","Jackson, Colorado"
"275","08059","Jefferson","Colorado","B19301_001",41930,476,"Income Per Capita","Jefferson, Colorado"
"276","08061","Kiowa","Colorado","B19301_001",24012,3039,"Income Per Capita","Kiowa, Colorado"
